episode,steps,total_episode_reward
603,881840,-4373.4878
604,883300,-4387.9170
605,884760,-4531.8228
606,886220,-4460.7642
607,887680,-4336.1460
608,889140,-4598.8774
609,890600,-4404.2422
610,892060,-4504.4863
611,893520,-4444.5166
612,894980,-4328.3447
613,896440,-4433.1816
614,897900,-4510.5659
615,899360,-4399.9404
616,900820,-4393.6162
617,902280,-4529.9917
618,903740,-4266.2764
619,905200,-4431.8594
620,906660,-4345.7026
621,908120,-4380.9048
622,909580,-4259.2329
623,911040,-4275.6494
624,912500,-4275.8755
625,913960,-4260.0454
626,915420,-4382.2266
627,916880,-4284.0659
628,918340,-4275.4741
629,919800,-4355.9932
630,921260,-4181.8677
631,922720,-4253.8521
632,924180,-4233.1704
633,925640,-4302.6494
634,927100,-4269.4810
635,928560,-4212.3013
636,930020,-4174.7046
637,931480,-4190.9146
638,932940,-4121.1714
639,934400,-4107.5332
640,935860,-4187.9238
641,937320,-4153.1704
642,938780,-3976.7378
643,940240,-4044.5374
644,941700,-4222.8916
645,943160,-3956.1484
646,944620,-4081.0718
647,946080,-4118.8438
648,947540,-3912.5396
649,949000,-3973.2361
650,950460,-3977.0566
651,951920,-4102.9604
652,953380,-4030.5620
653,954840,-4046.7102
654,956300,-4042.6301
655,957760,-3914.6707
656,959220,-4048.7583
657,960680,-3997.8896
658,962140,-4065.2395
659,963600,-3982.7483
660,965060,-4019.3706
661,966520,-4121.3105
662,967980,-4044.8354
663,969440,-3980.4246
664,970900,-3976.7974
665,972360,-4008.0439
666,973820,-3989.5066
667,975280,-3901.7898
668,976740,-4030.2117
669,978200,-3827.1304
670,979660,-3908.0981
671,981120,-4030.4773
672,982580,-3877.1648
673,984040,-3919.8125
674,985500,-3813.4548
675,986960,-3787.9971
676,988420,-3784.1702
677,989880,-3890.0608
678,991340,-3841.3521
679,992800,-3800.6465
680,994260,-3844.7759
681,995720,-3759.0356
682,997180,-3660.6799
683,998640,-3790.1172
684,1000100,-3783.7073
685,1001560,-3654.3562
686,1003020,-3826.1726
687,1004480,-3718.9109
688,1005940,-3758.6235
689,1007400,-3832.4773
690,1008860,-3703.2642
691,1010320,-3776.0334
692,1011780,-3709.1157
693,1013240,-3720.9260
694,1014700,-3766.8064
695,1016160,-3644.3699
696,1017620,-3547.1587
697,1019080,-3531.1011
698,1020540,-3641.3308
699,1022000,-3577.0371
700,1023460,-3642.3079
701,1024920,-3626.2434
702,1026380,-3620.7710
703,1027840,-3552.8779
704,1029300,-3643.0527
705,1030760,-3639.2825
706,1032220,-3646.5344
707,1033680,-3567.6094
708,1035140,-3515.0164
709,1036600,-3641.0347
710,1038060,-3694.8721
711,1039520,-3575.8550
712,1040980,-3391.0679
713,1042440,-3552.3279
714,1043900,-3521.0413
715,1045360,-3502.5898
716,1046820,-3571.3120
717,1048280,-3462.4004
718,1049740,-3484.6057
719,1051200,-3411.0215
720,1052660,-3432.9629
721,1054120,-3500.7905
722,1055580,-3566.3706
723,1057040,-3371.9260
724,1058500,-3344.7832
725,1059960,-3233.1865
726,1061420,-3413.9448
727,1062880,-3387.5769
728,1064340,-3367.9736
729,1065800,-3417.8794
730,1067260,-3259.8667
731,1068720,-3405.4524
732,1070180,-3300.0640
733,1071640,-3465.9526
734,1073100,-3390.6838
735,1074560,-3497.9373
736,1076020,-3299.0959
737,1077480,-3362.9944
738,1078940,-3339.6289
739,1080400,-3429.1929
740,1081860,-3243.0833
741,1083320,-3170.6543
742,1084780,-3236.5391
743,1086240,-3257.0398
744,1087700,-3192.2236
745,1089160,-3312.7156
746,1090620,-3340.0720
747,1092080,-3350.3779
748,1093540,-3303.1812
749,1095000,-3290.0874
750,1096460,-3232.7119
751,1097920,-3372.4543
752,1099380,-3167.1082
753,1100840,-3272.6252
754,1102300,-3236.1985
755,1103760,-3370.0413
756,1105220,-3286.5747
757,1106680,-3230.3645
758,1108140,-3253.5645
759,1109600,-3267.6094
760,1111060,-3236.3838
761,1112520,-3281.1096
762,1113980,-3289.6289
763,1115440,-3300.1436
764,1116900,-3166.1396
765,1118360,-3267.2883
766,1119820,-3301.5156
767,1121280,-3277.8169
768,1122740,-3284.5730
769,1124200,-3168.5735
770,1125660,-3352.1580
771,1127120,-3298.4155
772,1128580,-3333.9443
773,1130040,-3321.5088
774,1131500,-3417.4688
775,1132960,-3453.0176
776,1134420,-3407.6240
777,1135880,-3384.5286
778,1137340,-3350.2576
779,1138800,-3440.3435
780,1140260,-3520.4221
781,1141720,-3424.8284
782,1143180,-3601.2815
783,1144640,-3568.6313
784,1146100,-3493.7412
785,1147560,-3568.2546
786,1149020,-3693.4844
787,1150480,-3540.2087
788,1151940,-3573.0950
789,1153400,-3588.8738
790,1154860,-3658.8745
791,1156320,-3701.1763
792,1157780,-3572.1636
793,1159240,-3541.1472
794,1160700,-3698.8625
795,1162160,-3683.1177
796,1163620,-3749.1292
797,1165080,-3484.2627
798,1166540,-3758.2070
799,1168000,-3838.9272
800,1169460,-4029.8037
801,1170920,-3669.5847
802,1172380,-3734.0544
803,1173840,-3770.8667
804,1175300,-3580.2021
805,1176760,-3609.5459
806,1178220,-3429.0420
807,1179680,-3505.1760
808,1181140,-3609.8206
809,1182600,-3273.7161
810,1184060,-3337.9280
811,1185520,-3237.9939
812,1186980,-3382.8967
813,1188440,-3219.8821
814,1189900,-3224.7510
815,1191360,-3288.7354
816,1192820,-3212.9954
817,1194280,-3308.5549
818,1195740,-3248.7300
819,1197200,-3146.7651
820,1198660,-3156.1938
821,1200120,-3172.5125
822,1201580,-3245.1348
823,1203040,-3169.3916
824,1204500,-3164.9561
825,1205960,-3218.1560
826,1207420,-3158.9924
827,1208880,-3179.5125
828,1210340,-3010.9973
829,1211800,-3180.7146
830,1213260,-3164.8936
831,1214720,-3092.0327
832,1216180,-3080.9917
833,1217640,-3067.0166
834,1219100,-3116.4692
835,1220560,-3085.0586
836,1222020,-3219.4773
837,1223480,-3055.5813
838,1224940,-3021.3286
839,1226400,-2970.5112
840,1227860,-3058.0503
841,1229320,-3002.0503
842,1230780,-2945.9790
843,1232240,-2925.5796
844,1233700,-2939.0925
845,1235160,-2979.8159
846,1236620,-3147.0300
847,1238080,-3121.8132
848,1239540,-2930.7900
849,1241000,-3002.1438
850,1242460,-2949.6348
851,1243920,-2996.6174
852,1245380,-3020.3179
853,1246840,-3000.3547
854,1248300,-3029.1826
855,1249760,-3068.1750
856,1251220,-3044.8503
857,1252680,-2891.6731
858,1254140,-3018.3018
859,1255600,-3074.7720
860,1257060,-2921.3999
861,1258520,-2915.2156
862,1259980,-3015.2637
863,1261440,-2882.2083
864,1262900,-2988.0134
865,1264360,-3073.2168
866,1265820,-3080.2476
867,1267280,-3032.3271
868,1268740,-3034.5918
869,1270200,-2969.0986
870,1271660,-2920.5361
871,1273120,-3119.7769
872,1274580,-2999.7263
873,1276040,-2977.2505
874,1277500,-2910.6567
875,1278960,-2990.7798
876,1280420,-3078.8298
877,1281880,-3023.8376
878,1283340,-2974.6758
879,1284800,-2920.7163
880,1286260,-2922.0671
881,1287720,-2961.9011
882,1289180,-2934.9724
883,1290640,-3055.4883
884,1292100,-2988.6843
885,1293560,-2919.6963
886,1295020,-2972.7087
887,1296480,-3071.2881
888,1297940,-2996.2683
889,1299400,-3054.7195
890,1300860,-3040.0237
891,1302320,-2938.1653
892,1303780,-3045.7390
893,1305240,-3045.9607
894,1306700,-3083.8433
895,1308160,-3206.6436
896,1309620,-3234.8782
897,1311080,-3226.7417
898,1312540,-2929.6855
899,1314000,-3095.9668
900,1315460,-3141.2197
901,1316920,-3294.1533
902,1318380,-3058.3042
903,1319840,-3100.5562
904,1321300,-3399.9397
905,1322760,-3020.7615
906,1324220,-3111.7708
907,1325680,-3136.5571
908,1327140,-3096.1238
909,1328600,-3151.1350
910,1330060,-3236.1155
911,1331520,-3039.8354
912,1332980,-3126.3723
913,1334440,-3438.4448
914,1335900,-3359.6218
915,1337360,-3286.1646
916,1338820,-3289.2446
917,1340280,-3221.8855
918,1341740,-3081.1055
919,1343200,-3364.1260
920,1344660,-3221.1191
921,1346120,-3099.2058
922,1347580,-3095.0847
923,1349040,-3109.5261
924,1350500,-3030.7166
925,1351960,-2987.9224
926,1353420,-3020.0691
927,1354880,-3060.0483
928,1356340,-2940.8772
929,1357800,-2958.8081
930,1359260,-3012.9153
931,1360720,-2979.2615
932,1362180,-2872.6177
933,1363640,-3102.7639
934,1365100,-2865.8279
935,1366560,-2874.2742
936,1368020,-3074.5164
937,1369480,-3020.6489
938,1370940,-3110.9592
939,1372400,-3080.3823
940,1373860,-3037.8079
941,1375320,-2973.2488
942,1376780,-3067.1243
943,1378240,-3090.7502
944,1379700,-3031.5547
945,1381160,-2890.4670
946,1382620,-3093.1978
947,1384080,-2922.2546
948,1385540,-2886.4124
949,1387000,-2907.7122
950,1388460,-3086.5347
951,1389920,-2992.8940
952,1391380,-2953.0679
953,1392840,-2878.9753
954,1394300,-2955.9395
955,1395760,-2957.4780
956,1397220,-2994.7725
957,1398680,-3041.7439
958,1400140,-3037.7268
959,1401600,-2992.6194
960,1403060,-2837.5103
961,1404520,-2816.5420
962,1405980,-2818.5996
963,1407440,-2946.4099
964,1408900,-2851.0508
965,1410360,-2922.4204
966,1411820,-2992.1697
967,1413280,-2896.8088
968,1414740,-2993.7532
969,1416200,-2929.6985
970,1417660,-2870.4062
971,1419120,-2905.8665
972,1420580,-2843.2964
973,1422040,-2780.4058
974,1423500,-2838.6174
975,1424960,-2755.8333
976,1426420,-2832.5315
977,1427880,-2885.1162
978,1429340,-2953.1821
979,1430800,-2955.7207
980,1432260,-2878.1633
981,1433720,-2893.9309
